user_prompt,url_to_check,func_rating,custom_rating
What are the benefits of a balanced diet?,https://www.nasa.gov/mars-missions,0,3
How does machine learning work?,https://www.foodnetwork.com/best-desserts,0,4
Tips for improving sleep quality?,https://www.worldbank.org/economic-growth,0,2
What are the effects of climate change?,https://www.fifa.com/world-cup-history,0,4
How to start investing in stocks?,https://www.nobelprize.org/physics,0,3
Explain Newton’s laws of motion.,https://www.who.int/mental-health,0,4
What are the advantages of electric cars?,https://www.medicalnewstoday.com/heart-health,0,4
How to improve time management skills?,https://www.techcrunch.com/startups,0,2
What are some easy yoga poses for beginners?,https://www.bbc.com/history-world-war,0,4
Tell me about the history of Ancient Greece.,https://www.cnn.com/latest-tech,0,4
